DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9,param_1,param_2,param_3,param_4
136_1240134,0.9999999403953552,1.0002926588058472,0.9542057514190674,0.8249540328979492,0.6519327163696289,0.4618111550807953,0.3308979868888855,0.21052221953868866,0.07014603912830353,0.053761281073093414,-1.5828701193116193,1.0064973753492654,2.9845734119019305,-0.1592383105358682
136_1298219,0.9999999403953552,0.9828877449035645,0.9632117748260498,0.854955792427063,0.8023006916046143,0.6215267777442932,0.4300912022590637,0.16331838071346283,0.04497174546122551,0.035652946680784225,-1.8375596905682166,0.9708189499602295,4.3933329902648515,-0.1590675837066512
136_910687,0.9999999403953552,0.9828877449035645,0.9632117748260498,0.854955792427063,0.8023006916046143,0.6215267777442932,0.4300912022590637,0.16331838071346283,0.04497174546122551,0.035652946680784225,-1.8375596905682166,0.9708189499602295,4.3933329902648515,-0.1590675837066512
136_906864,0.9999999403953552,0.9929444789886475,0.9550348520278931,0.7725004553794861,0.6144538521766663,0.42958372831344604,0.3030070662498474,0.1882963478565216,0.07014603912830353,0.05359894782304764,-1.6704637176867914,1.0075912246538108,2.8530316299310123,-0.14087139119114345
170_688087,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_1240216,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_910948,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_688006,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_1240190,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_910911,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_908145,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_1240160,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_687590,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_949156,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_910853,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_907043,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_722045,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_910689,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_910910,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_909976,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_924104,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_908445,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
170_906834,0.999601423740387,0.9933465123176575,0.9188895225524902,0.8383277058601379,0.7091073393821716,0.3669738471508026,0.17595185339450836,0.06172063201665878,0.016741517931222916,0.011520749889314175,-3.484477601985661,0.9675452391287812,5.347426892805734,-0.033772437722774315
