DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
276_908457,1.0,0.991487318,1.018251849,0.980472066,0.8740849509999999,0.6155139629999999,0.348824334,0.147176267,0.083099626,0.07629712,,,,
276_930083,1.0,1.01323829,0.964761337,0.968701454,0.843882444,0.7260631329999999,0.493182901,0.192360251,0.08671473199999999,0.04782683,,,,
276_1240150,1.0,0.992669193,0.935061075,0.974466762,1.001227606,1.057067828,0.54036057,0.985887035,0.029361359,0.011388796,,,,
276_1240130,1.0,1.011928201,1.0427610859999998,0.983056895,0.964241478,0.655449556,0.016494011,0.659955666,0.008123507,0.010086262,,,,
276_753548,1.0,1.006510579,0.980813297,0.905106154,0.801951684,0.51114704,0.038052563,0.024385197,0.014841998,0.012366061,,,,
276_906838,1.0,1.003082031,0.985387019,0.965529133,0.792111255,0.592652375,0.424441615,0.244789253,0.134794949,0.096731072,,,,
276_909779,1.0,1.036703743,0.963531088,0.966476823,0.648550972,0.078833252,0.026193165,0.018718816,0.014487948999999996,0.013791744,,,,
276_1303901,1.0,0.966193781,0.866678068,0.772467061,0.608151564,0.290579993,0.01384321,0.008252278,0.006805251,0.006692351,,,,
276_905944,1.0,1.004770019,0.909228525,0.8308415459999999,0.593973313,0.272178905,0.15586169,0.156755211,0.120747948,0.095276258,,,,
276_1240122,1.0,1.000302021,0.981502768,0.936169621,0.8437759770000001,0.794874739,0.267780045,0.017305618000000002,0.012415872,0.019931289,,,,
276_1299059,1.0,1.033144509,1.023083453,1.06386791,0.951496936,0.8770549129999999,0.478303734,0.203713622,0.019943134,0.016669098,,,,
276_1503368,1.0,1.024677659,1.000023384,0.984589613,1.137746393,0.645292912,0.17620595100000006,0.071123374,0.065134127,0.051326368,,,,
276_910401,1.0,0.987082437,0.8741594229999999,0.68356756,0.271859354,0.012949093,0.005238846,0.004231658,0.003105298,0.009464938,,,,
276_908144,1.0,0.963511247,0.8224030059999999,0.8511190009999999,0.642082073,0.455567938,0.22031950600000005,0.05795583400000001,0.011169195,0.007140339,,,,
276_910548,1.0,0.998528456,0.980098197,1.043460527,1.054071067,1.06266953,0.860852313,0.261589281,0.042950949,0.032647774,,,,
276_907065,1.0,0.964060451,1.014648655,1.024078224,0.938681088,0.889925247,0.462671814,0.135039149,0.079784026,0.03866877,,,,
276_1298349,1.0,0.990538286,0.980667987,0.997607026,0.918791543,0.72330224,0.216857208,0.088132443,0.080727424,0.082976934,,,,
276_1327766,1.0,1.010878081,0.911307433,0.8078539090000001,0.491104047,0.167770445,0.018818683,0.013375614,0.017367198,0.009609103,,,,
276_905979,1.0,0.986324183,0.973633013,0.991801007,0.964465248,1.010606324,0.7994644809999999,0.143024546,0.031161581,0.017812361999999998,,,,
276_1331045,1.0,1.04241979,0.8107107990000001,0.680115995,0.318974432,0.191444715,0.058528653,0.044852789,0.036834189,0.028874903,,,,
276_909252,1.0,0.992812624,0.7417839159999999,0.371006593,0.043056559,0.01106368,0.011349975,0.007067993000000002,0.006236492,0.011332549,,,,
276_906846,1.0,1.02270633,0.895090811,0.695119877,0.563373693,0.366945294,0.14191178599999998,0.043632239,0.011470838,0.009266211,,,,
276_1290455,1.0,0.962683002,0.956950248,0.721893447,0.319599653,0.096598498,0.034718473,0.022799424,0.00564278,0.00445397,,,,
276_910922,1.0,1.031012333,0.90068484,0.835150684,0.575115467,0.373587125,0.166035399,0.077661773,0.021892213,0.025510763,,,,
276_722066,1.0,0.966864332,0.905405627,0.8855840309999999,0.758439092,0.6289613039999999,0.442418753,0.183254012,0.028149982,0.028963731,,,,
276_910687,1.0,0.98747986,0.911502416,0.668226153,0.164420852,0.040896874,0.016647441000000002,0.007382333,0.010608343,0.007260025,,,,
276_753608,1.0,0.962203552,0.929272913,0.931032729,0.712489961,0.869848145,0.17996652300000002,0.080170767,0.025975874,0.014022195,,,,
276_907042,1.0,1.031555134,0.891460403,0.831504679,0.7661315459999999,0.888724933,0.271270611,0.06259387,0.020737809,0.003747659,,,,
276_909256,1.0,0.970113184,0.979254241,0.810199572,0.425964458,0.189918154,0.050213488,0.022739656,0.01814633,0.01322708,,,,
276_1290812,1.0,0.966496876,1.02996361,0.924843372,0.793463041,0.764778044,0.386293641,0.095590336,0.049889278,0.025709227,,,,
276_906696,1.0,0.994727642,0.8909943370000001,0.750846329,0.491111512,0.395056575,0.247190457,0.06769019400000001,0.052855064000000014,0.034261062,,,,
